query-id	corpus-id	score
PLAIN-3	MED-2436	1
PLAIN-3	MED-2437	1
PLAIN-3	MED-2438	1
PLAIN-3	MED-2439	1
PLAIN-3	MED-2440	1
PLAIN-3	MED-2427	1
PLAIN-3	MED-2428	1
PLAIN-3	MED-2429	1
PLAIN-3	MED-2430	1
PLAIN-3	MED-2431	1
PLAIN-3	MED-2432	1
PLAIN-3	MED-2434	1
PLAIN-3	MED-2435	1
PLAIN-3	MED-3238	1
PLAIN-3	MED-3697	1
PLAIN-3	MED-3699	1
PLAIN-3	MED-3241	1
PLAIN-3	MED-3841	1
PLAIN-3	MED-3842	1
PLAIN-3	MED-3843	1
PLAIN-3	MED-3844	1
PLAIN-3	MED-3845	1
PLAIN-3	MED-3846	1
PLAIN-3	MED-3847	1
PLAIN-3	MED-3848	1
PLAIN-3	MED-3849	1
PLAIN-3	MED-3850	1
PLAIN-3	MED-4094	1
PLAIN-3	MED-3852	1
PLAIN-3	MED-3853	1
PLAIN-3	MED-3854	1
PLAIN-3	MED-3855	1
PLAIN-3	MED-3856	1
PLAIN-3	MED-3857	1
PLAIN-3	MED-4295	1
PLAIN-3	MED-4296	1
PLAIN-3	MED-4298	1
PLAIN-3	MED-4440	1
PLAIN-3	MED-4785	1
PLAIN-3	MED-4652	1
PLAIN-3	MED-4445	1
PLAIN-3	MED-4446	1
PLAIN-3	MED-4447	1
PLAIN-3	MED-4448	1
PLAIN-3	MED-5322	1
PLAIN-3	MED-5323	1
PLAIN-3	MED-5324	1
PLAIN-3	MED-5325	1
PLAIN-3	MED-5326	1
PLAIN-3	MED-5327	1
PLAIN-3	MED-5328	1
PLAIN-3	MED-5329	1
PLAIN-3	MED-5330	1
PLAIN-3	MED-5331	1
PLAIN-3	MED-5332	1
PLAIN-3	MED-5333	1
PLAIN-3	MED-5334	1
PLAIN-3	MED-5335	1
PLAIN-3	MED-5363	1
PLAIN-3	MED-5337	1
PLAIN-3	MED-5338	1
PLAIN-3	MED-5339	1
PLAIN-3	MED-5340	1
PLAIN-3	MED-5341	1
PLAIN-3	MED-5342	1
PLAIN-4	MED-2441	1
PLAIN-4	MED-2472	1
PLAIN-4	MED-2444	1
PLAIN-5	MED-2445	1
PLAIN-5	MED-2458	1
PLAIN-5	MED-2448	1
PLAIN-5	MED-2450	1
PLAIN-5	MED-2449	1
PLAIN-5	MED-2452	1
PLAIN-5	MED-2453	1
PLAIN-5	MED-2441	1
PLAIN-5	MED-2442	1
PLAIN-5	MED-2472	1
PLAIN-5	MED-2444	1
PLAIN-5	MED-2446	1
PLAIN-5	MED-2451	1
PLAIN-5	MED-2455	1
PLAIN-5	MED-2456	1
PLAIN-5	MED-5072	1
PLAIN-5	MED-2459	1
PLAIN-5	MED-2460	1
PLAIN-5	MED-2461	1
PLAIN-5	MED-4551	1
PLAIN-5	MED-2643	1
PLAIN-5	MED-2464	1
PLAIN-5	MED-2645	1
PLAIN-5	MED-2644	1
PLAIN-5	MED-2646	1
